,0
0,0.06277187168598175
1,0.0636686235666275
2,0.06515873968601227
3,0.06713150441646576
4,0.06943848729133606
5,0.07193104922771454
6,0.07448197901248932
7,0.07699492573738098
8,0.07940564304590225
9,0.08167865127325058
10,0.0838005542755127
11,0.08577415347099304
12,0.08761218190193176
13,0.08933179825544357
14,0.09095148742198944
15,0.0924883559346199
16,0.0939565896987915
17,0.0953672006726265
18,0.09672718495130539
19,0.0980403944849968
20,0.09930796921253204
21,0.10052822530269623
22,0.10169806331396103
23,0.10281281918287277
24,0.10386717319488525
25,0.10485535115003586
26,0.10577161610126495
27,0.10661045461893082
28,0.10736679285764694
29,0.10803619772195816
30,0.10861524939537048
31,0.10910119116306305
32,0.10949245095252991
33,0.10978832840919495
34,0.10998910665512085
35,0.11009609699249268
36,0.11011163890361786
37,0.11003901064395905
38,0.10988228768110275
39,0.10964632779359818
40,0.10933682322502136
41,0.10896001011133194
42,0.10852275788784027
43,0.1080322414636612
44,0.10749607533216476
45,0.10692208260297775
46,0.10631813853979111
47,0.10569210350513458
48,0.10505175590515137
49,0.10440473258495331
